LB,00334,0,T,System.Audit.All.DA.ElapsedTime.VariableDataChange.ActiveFlowRegulation,20221123T184140.000Z,20221123T184140.000Z
TR,System.Audit.All.DA.ElapsedTime.VariableDataChange.ActiveFlowRegulation,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,-1.797693134862315e308,0
20221123T184140.000Z,0,64
LB,00283,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.Alarm,20221123T184140.000Z,20221123T184140.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.Alarm,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184140.000Z,0,64
LB,00295,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.AllToolkits,20221123T184140.000Z,20221123T184140.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.AllToolkits,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184140.000Z,0,64
LB,01041,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.Historical,20221123T184140.000Z,20221123T184630.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.Historical,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184200.000Z,0.1,192
20221123T184210.000Z,0.9,192
20221123T184220.000Z,0.2,192
20221123T184240.000Z,0.1,192
20221123T184250.000Z,0.2,192
20221123T184310.000Z,0.8,192
20221123T184320.000Z,0.2,192
20221123T184340.000Z,0.1,192
20221123T184350.000Z,0.2,192
20221123T184410.000Z,0.9,192
20221123T184420.000Z,0.2,192
20221123T184440.000Z,0.1,192
20221123T184450.000Z,0.2,192
20221123T184510.000Z,0.8,192
20221123T184520.000Z,0,192
20221123T184530.000Z,0.4,192
20221123T184540.000Z,0.2,192
20221123T184550.000Z,0.1,192
20221123T184600.000Z,0.2,192
20221123T184610.000Z,0.5,192
20221123T184620.000Z,0.1,192
20221123T184630.000Z,0.2,192
20221123T184630.000Z,0.5,192
20221123T184630.000Z,0.2,192
20221123T184630.000Z,0.1,192
20221123T184630.000Z,0,64
LB,00279,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.LAN,20221123T184140.000Z,20221123T184140.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.LAN,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184140.000Z,0,64
LB,00291,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.OPCServer,20221123T184140.000Z,20221123T184140.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.OPCServer,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184140.000Z,0,64
LB,01195,0,T,System.Audit.All.DA.Flow.VariableDataChange.Input.UserInterface,20221123T184140.000Z,20221123T184620.000Z
TR,System.Audit.All.DA.Flow.VariableDataChange.Input.UserInterface,-1.797693134862315e308,1.797693134862315e308,1,1,,0,0,2
20221123T184140.000Z,0,192
20221123T184150.000Z,0.2,192
20221123T184200.000Z,1.9,192
20221123T184210.000Z,1.3,192
20221123T184220.000Z,1.6,192
20221123T184230.000Z,2,192
20221123T184240.000Z,2.3,192
20221123T184250.000Z,1.8,192
20221123T184300.000Z,1.5,192
20221123T184310.000Z,1.6,192
20221123T184320.000Z,2,192
20221123T184330.000Z,1.6,192
20221123T184340.000Z,1.9,192
20221123T184350.000Z,1.7,192
20221123T184400.000Z,1.6,192
20221123T184410.000Z,1.5,192
20221123T184420.000Z,1.8,192
20221123T184430.000Z,1.9,192
20221123T184440.000Z,1.3,192
20221123T184450.000Z,1.8,192
20221123T184500.000Z,1.1,192
20221123T184520.000Z,1.6,192
20221123T184530.000Z,1.3,192
20221123T184540.000Z,1.4,192
20221123T184550.000Z,1.1,192
20221123T184600.000Z,1.2,192
20221123T184610.000Z,1.1,192
20221123T184620.000Z,1.7,192
20221123T184620.000Z,1.5,192
20221123T184620.000Z,1.8,192
20221123T184620.000Z,1.9,192
20221123T184620.000Z,0,64
LB,00323,0,T,System.Audit.All.DA.Number.SingleItemDataChange.PendingInMailbox.VarManager,20221123T184140.000Z,20221123T184140.000Z
