LB,00221,0,L,LogList01,20221123T184140.985Z,20221123T184140.985Z
LC
20221123T184140.985Z,1,16, ,,GENERAL.OpenHelpAtStartup,"",False,0,20221123T184140.984Z,0,"                                        ","#@A1,#@A2","",""
LB,00223,0,L,LogList01,20221123T061715.908Z,20221123T061715.908Z
LC
20221123T061715.908Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 1.00,0,20221123T061715.907Z,0,"                                        ","#@A1,#@A2","",""
LB,00223,0,L,LogList01,20221123T072516.110Z,20221123T072516.110Z
LC
20221123T072516.110Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 1.00,0,20221123T072516.109Z,0,"                                        ","#@A1,#@A2","",""
LB,00376,0,L,LogList01,20221123T075350.394Z,20221123T075421.128Z
LC
20221123T075350.394Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 1.00,0,20221123T075350.393Z,0,"                                        ","#@A1,#@A2","",""
20221123T075421.128Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 0.00,0,20221123T075421.127Z,0,"                                        ","#@A1,#@A2","",""
LB,00682,0,L,LogList01,20221124T033800.447Z,20221124T034424.965Z
LC
20221124T033800.447Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 1.00,0,20221124T033800.446Z,0,"                                        ","#@A1,#@A2","",""
20221124T034144.306Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 0.00,0,20221124T034144.305Z,0,"                                        ","#@A1,#@A2","",""
20221124T034421.935Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 1.00,0,20221124T034421.932Z,0,"                                        ","#@A1,#@A2","",""
20221124T034424.965Z,1,8, ,,GENERAL.TRENDS.ComboBoxIndex,"", 0.00,0,20221124T034424.964Z,0,"                                        ","#@A1,#@A2","",""
LB,15140,0,L,LogList01,20221124T063105.857Z,20221124T070016.616Z
LC
20221124T063105.857Z,1,8589934592, ,01,TEST1,"",1,0,20221124T063105.856Z,0,"                                        ","#@A1,#@A2","",""
20221124T063106.685Z,1,4294967296, ,10,TEST1,"",0,0,20221124T063106.684Z,0,"                                        ","#@A1,#@A2","",""
20221124T063107.466Z,1,8589934592, ,01,TEST1,"",1,0,20221124T063107.465Z,0,"                                        ","#@A1,#@A2","",""
20221124T063108.169Z,1,4294967296, ,10,TEST1,"",0,0,20221124T063108.168Z,0,"                                        ","#@A1,#@A2","",""
20221124T063108.966Z,1,8589934592, ,01,TEST1,"",1,0,20221124T063108.965Z,0,"                                        ","#@A1,#@A2","",""
20221124T063109.716Z,1,4294967296, ,10,TEST1,"",0,0,20221124T063109.715Z,0,"                                        ","#@A1,#@A2","",""
